subject,proximity
abstract_algebra,0.1125398725271225
anatomy,0.476590633392334
astronomy,0.14610973000526428
business_ethics,-0.007656775414943695
clinical_knowledge,0.6616806387901306
college_biology,0.26535260677337646
college_chemistry,0.17594730854034424
college_computer_science,0.05465565249323845
college_mathematics,0.1385078877210617
college_medicine,0.3889973759651184
college_physics,0.0769726112484932
computer_security,-0.03723854571580887
conceptual_physics,0.18096518516540527
econometrics,0.016476470977067947
electrical_engineering,0.05460571497678757
elementary_mathematics,0.12220179289579391
formal_logic,0.16425803303718567
global_facts,0.008370858617126942
high_school_biology,0.2441713511943817
high_school_chemistry,0.1484687179327011
high_school_computer_science,0.06156688183546066
high_school_european_history,-0.009830525144934654
high_school_geography,0.11760854721069336
high_school_government_and_politics,-0.009349639527499676
high_school_macroeconomics,-0.012920882552862167
high_school_mathematics,0.121137835085392
high_school_microeconomics,-0.029804395511746407
high_school_physics,0.058322660624980927
high_school_psychology,0.163474440574646
high_school_statistics,0.07660752534866333
high_school_us_history,0.01753140427172184
high_school_world_history,0.02359844371676445
human_aging,0.11424466222524643
human_sexuality,0.0779222771525383
international_law,-0.0323525108397007
jurisprudence,0.08900117874145508
logical_fallacies,0.00640700850635767
machine_learning,0.1369347721338272
management,0.14172258973121643
marketing,0.09621837735176086
medical_genetics,0.33500316739082336
miscellaneous,0.09738317131996155
moral_disputes,0.005817428231239319
moral_scenarios,0.026226509362459183
nutrition,0.061955228447914124
philosophy,0.15256226062774658
prehistory,0.02862575463950634
professional_accounting,0.13579921424388885
professional_law,0.1212901845574379
professional_medicine,0.38790571689605713
professional_psychology,0.20498281717300415
public_relations,0.10313674807548523
security_studies,-0.027314189821481705
sociology,0.07667753100395203
us_foreign_policy,-0.0038271788507699966
virology,0.2902142405509949
world_religions,0.03546113520860672
